date,state,income_mean,income_median,expenditure_mean,gini,poverty,year_x,exp_to_income_ratio,year_y,division,division_label,cpi_mean
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,01,Food & Non-Alcoholic Beverages,130.70000000000002
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,02,Alcoholic Beverages & Tobacco,183.9
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,03,Clothing & Footwear,90.14999999999999
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,04,"Housing, Water, Electricity & Gas",114.84166666666665
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,05,Furnishings & Household Equipment,113.10000000000001
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,06,Health,117.54166666666667
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,07,Transport,112.33333333333333
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,08,Communication,102.09166666666665
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,09,Recreation & Culture,118.64999999999999
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,10,Education,126.0
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,11,Restaurants & Hotels,131.03333333333333
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,12,Insurance & Financial Services,121.7
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,13,Personal Care & Miscellaneous,110.425
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,overall,Overall CPI,120.16666666666667
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,01,Food & Non-Alcoholic Beverages,153.30833333333334
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,02,Alcoholic Beverages & Tobacco,169.32500000000002
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,03,Clothing & Footwear,99.38333333333333
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,04,"Housing, Water, Electricity & Gas",129.20000000000002
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,05,Furnishings & Household Equipment,130.96666666666667
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,06,Health,126.66666666666667
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,07,Transport,123.60000000000001
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,08,Communication,96.40833333333335
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,09,Recreation & Culture,119.825
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,10,Education,124.56666666666666
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,11,Restaurants & Hotels,148.38333333333333
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,12,Insurance & Financial Services,102.3
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,13,Personal Care & Miscellaneous,116.00833333333333
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,overall,Overall CPI,132.08333333333334
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,01,Food & Non-Alcoholic Beverages,136.91666666666666
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,02,Alcoholic Beverages & Tobacco,183.75
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,03,Clothing & Footwear,93.51666666666667
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,04,"Housing, Water, Electricity & Gas",114.94166666666666
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,05,Furnishings & Household Equipment,115.5
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,06,Health,125.5
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,07,Transport,117.13333333333333
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,08,Communication,97.35000000000001
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,09,Recreation & Culture,109.56666666666666
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,10,Education,128.89166666666668
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,11,Restaurants & Hotels,126.13333333333333
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,12,Insurance & Financial Services,122.2
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,13,Personal Care & Miscellaneous,126.55833333333334
2022-01-01,Terengganu,7248,5878,4796,0.32631,6.2,2022,0.6616997792494481,2022,overall,Overall CPI,123.16666666666667
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,01,Food & Non-Alcoholic Beverages,130.29166666666666
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,02,Alcoholic Beverages & Tobacco,172.95833333333334
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,03,Clothing & Footwear,91.11666666666667
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,04,"Housing, Water, Electricity & Gas",108.86666666666667
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,05,Furnishings & Household Equipment,115.85833333333333
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,06,Health,130.54999999999998
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,07,Transport,114.19166666666666
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,08,Communication,98.98333333333333
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,09,Recreation & Culture,119.375
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,10,Education,113.69166666666666
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,11,Restaurants & Hotels,145.73333333333332
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,12,Insurance & Financial Services,110.5
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,13,Personal Care & Miscellaneous,115.95833333333333
2022-01-01,Sabah,6171,4577,3342,0.39491,19.7,2022,0.5415653864851726,2022,overall,Overall CPI,118.0
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,01,Food & Non-Alcoholic Beverages,137.08333333333334
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,02,Alcoholic Beverages & Tobacco,147.54999999999998
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,03,Clothing & Footwear,89.75833333333333
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,04,"Housing, Water, Electricity & Gas",109.68333333333334
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,05,Furnishings & Household Equipment,111.44166666666666
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,06,Health,128.18333333333334
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,07,Transport,122.22500000000001
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,08,Communication,95.90000000000002
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,09,Recreation & Culture,107.77499999999999
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,10,Education,115.33333333333333
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,11,Restaurants & Hotels,134.78333333333333
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,12,Insurance & Financial Services,103.0
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,13,Personal Care & Miscellaneous,116.175
2022-01-01,Sarawak,6457,4978,3915,0.3818,10.8,2022,0.6063187238655723,2022,overall,Overall CPI,120.79166666666667
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,01,Food & Non-Alcoholic Beverages,146.65
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,02,Alcoholic Beverages & Tobacco,168.31666666666666
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,03,Clothing & Footwear,83.75833333333334
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,04,"Housing, Water, Electricity & Gas",130.225
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,05,Furnishings & Household Equipment,124.14166666666667
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,06,Health,115.33333333333333
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,07,Transport,124.90833333333335
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,08,Communication,91.91666666666667
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,09,Recreation & Culture,112.68333333333334
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,10,Education,128.11666666666665
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,11,Restaurants & Hotels,137.86666666666667
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,12,Insurance & Financial Services,105.58333333333333
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,13,Personal Care & Miscellaneous,117.88333333333333
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,overall,Overall CPI,128.475
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,01,Food & Non-Alcoholic Beverages,129.15
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,02,Alcoholic Beverages & Tobacco,132.7
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,03,Clothing & Footwear,88.93333333333334
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,04,"Housing, Water, Electricity & Gas",120.01666666666667
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,05,Furnishings & Household Equipment,107.70833333333333
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,06,Health,131.65
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,07,Transport,120.26666666666667
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,08,Communication,99.7
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,09,Recreation & Culture,121.94166666666666
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,10,Education,130.2
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,11,Restaurants & Hotels,128.60833333333332
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,12,Insurance & Financial Services,105.5
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,13,Personal Care & Miscellaneous,113.5
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,overall,Overall CPI,120.56666666666666
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,01,Food & Non-Alcoholic Beverages,159.70833333333334
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,02,Alcoholic Beverages & Tobacco,185.71666666666667
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,03,Clothing & Footwear,87.29166666666667
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,04,"Housing, Water, Electricity & Gas",130.46666666666667
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,05,Furnishings & Household Equipment,133.54999999999998
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,06,Health,111.29166666666667
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,07,Transport,132.73333333333332
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,08,Communication,96.03333333333335
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,09,Recreation & Culture,107.49166666666667
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,10,Education,129.41666666666666
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,11,Restaurants & Hotels,164.6
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,12,Insurance & Financial Services,109.09999999999998
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,13,Personal Care & Miscellaneous,121.26666666666667
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,0.6603577525421213,2022,overall,Overall CPI,133.825
